Resultseientific,Resultseientific,TX_ID
1755360.000000,1.7554 x 10^6,491
-7649.000000,-7.6490 x 10^3,257
0.000000,0.0000 x 10^0,3102
2872.000000,2.8720 x 10^3,504
1823130.000000,1.8231 x 10^6,3042
494.000000,4.9400 x 10^2,3055
0.000000,0.0000 x 10^0,3144
0.704600,7.0460 x 10^-1,3018
221.000000,2.2100 x 10^2,247
2957070.000000,2.9571 x 10^6,3007
5995400.000000,5.9954 x 10^6,3044
2705884.000000,2.7059 x 10^6,3138
-720.000000,-7.2000 x 10^2,3043
0.000000,0.0000 x 10^0,3023
165.000000,1.6500 x 10^2,3022
59022.000000,5.9022 x 10^4,3040
1163820.000000,1.1638 x 10^6,515
0.036600,3.6600 x 10^-2,3047
723.000000,7.2300 x 10^2,3026
0.000000,0.0000 x 10^0,3016
-3437.000000,-3.4370 x 10^3,492
0.000000,0.0000 x 10^0,3012
0.000000,0.0000 x 10^0,3015
0.160900,1.6090 x 10^-1,3054
576.000000,5.7600 x 10^2,444
0.000000,0.0000 x 10^0,3031
-7080.000000,-7.0800 x 10^3,297
-3845.000000,-3.8450 x 10^3,440
-369.000000,-3.6900 x 10^2,516
3702.000000,3.7020 x 10^3,3122
125970.000000,1.2597 x 10^5,3052
2943.000000,2.9430 x 10^3,506
0.000000,0.0000 x 10^0,3027
99.000000,9.9000 x 10^1,3034
8026.000000,8.0260 x 10^3,3003
0.000000,0.0000 x 10^0,3058
378015.000000,3.7802 x 10^5,3048
6.000000,6.0000 x 10^0,3024
0.060700,6.0700 x 10^-2,3163
-8495.000000,-8.4950 x 10^3,3029
-513.000000,-5.1300 x 10^2,3046
289.000000,2.8900 x 10^2,472
2665790.000000,2.6658 x 10^6,522
-4170.000000,-4.1700 x 10^3,523
0.119200,1.1920 x 10^-1,496
0.000000,0.0000 x 10^0,455
2899765.000000,2.8998 x 10^6,509
553.000000,5.5300 x 10^2,484
-8556.000000,-8.5560 x 10^3,499
0.000000,0.0000 x 10^0,482
1483.000000,1.4830 x 10^3,463
794.000000,7.9400 x 10^2,441
0.000000,0.0000 x 10^0,524
4793.000000,4.7930 x 10^3,3134
4768.000000,4.7680 x 10^3,498
0.000000,0.0000 x 10^0,433
331.000000,3.3100 x 10^2,508
0.026700,2.6700 x 10^-2,3049
4938.000000,4.9380 x 10^3,525
1.615400,1.6154 x 10^0,298
3537768.000000,3.5378 x 10^6,500
2394.000000,2.3940 x 10^3,464
0.000000,0.0000 x 10^0,403
0.000000,0.0000 x 10^0,481
0.012800,1.2800 x 10^-2,358
0.000000,0.0000 x 10^0,475
0.026100,2.6100 x 10^-2,502
1132.000000,1.1320 x 10^3,487
4363860.000000,4.3639 x 10^6,541
686.000000,6.8600 x 10^2,560
1752740.000000,1.7527 x 10^6,533
9140.000000,9.1400 x 10^3,529
0.000000,0.0000 x 10^0,316
0.135600,1.3560 x 10^-1,542
0.000000,0.0000 x 10^0,562
2459664.000000,2.4597 x 10^6,553
0.000000,0.0000 x 10^0,535
10495.000000,1.0495 x 10^4,532
898.000000,8.9800 x 10^2,545
-4160.000000,-4.1600 x 10^3,544
55.000000,5.5000 x 10^1,547
374085.000000,3.7409 x 10^5,583
0.081700,8.1700 x 10^-2,605
797.000000,7.9700 x 10^2,600
10357.000000,1.0357 x 10^4,576
0.000000,0.0000 x 10^0,666
398.000000,3.9800 x 10^2,575
1335900.000000,1.3359 x 10^6,640
5501.000000,5.5010 x 10^3,566
0.000000,0.0000 x 10^0,534
-2860.000000,-2.8600 x 10^3,579
0.074000,7.4000 x 10^-2,851
0.076300,7.6300 x 10^-2,622
0.024600,2.4600 x 10^-2,645
-9091.000000,-9.0910 x 10^3,628
-2925.000000,-2.9250 x 10^3,641
0.153300,1.5330 x 10^-1,262
-2263.000000,-2.2630 x 10^3,310
8946.000000,8.9460 x 10^3,415
1.000000,1.0000 x 10^0,376
9195.000000,9.1950 x 10^3,377
650305.000000,6.5031 x 10^5,261
0.113500,1.1350 x 10^-1,309
1771.000000,1.7710 x 10^3,273
464040.000000,4.6404 x 10^5,755
0.000000,0.0000 x 10^0,308
0.085900,8.5900 x 10^-2,414
284.000000,2.8400 x 10^2,653
-3502.000000,-3.5020 x 10^3,757
-7941.000000,-7.9410 x 10^3,678
9502.000000,9.5020 x 10^3,580
270.000000,2.7000 x 10^2,849
0.021400,2.1400 x 10^-2,758
